# Known NID to name pairs.
#
# Harvested from the resolution logs of an open-source emulator, which prints the name it
# matched for every NID a module imports. Nothing here is secret or derived from anything
# that is: the names are already in this program's census, and the NIDs are computable
# from them with `obscene-tool nid`.
#
# It is kept because it is a *test set*. A candidate generator that cannot reproduce names
# already known is not ready to be believed about unknown ones, and this is what measures
# that:
#
#   obscene-tool crack --nids <targets> --words <candidates> --known data/nid-corpus.txt
#
# The header of that command's output reports how many of these it reproduced.
#
# It also verifies the hash chain against an independent implementation: every pair here
# was produced by somebody else's code and agrees with ours.
#
# Suffix: 518D64A635DED8C1E6B039B1C3E55230. Pairs made with a different one do not belong
# in this file and are not comparable.
#
+AFvOEXrKJk sceGnmSetEmbeddedVsShader
q1cHNfGycLI scePadRead
q7U6tEAQf7c sceNpTrophyCreateHandle
qBDmpCyGssE scePthreadCancel
rHRr+131ATY llabs
rIZnR6eSpvk scePadResetOrientation
rPo6tV8D9bM sceSystemServiceGetStatus
rQFVBXp-Cxg fseek
rTXw65xmLIA sceKernelAllocateDirectMemory
rVjRvHJ0X6c sceKernelVirtualQuery
rWUTcKdkUzQ sceVideoOutGetEventData
rcrVFJsQWRY scePthreadGetaffinity
rtV7-jWC6Yg log
s1--uE9mBFw sceAudioOutClose
smWEktiyyG0 scePthreadMutexattrDestroy
smbQukfxYJM getenv
t9vVyTglqHQ scePthreadBarrierWait
tIhsqj0qsFE free
taRWhTJFTgE sceKernelGetdirentries
tcVi5SivF7Q sprintf
teiItL2boFw sceKernelReleaseFlexibleMemory
tn3VlD0hG60 scePthreadMutexUnlock
tsvEmnenz48 __cxa_atexit
u1GRHp+oWoY scePadGetHandle
uMei1W9uyNo exit
uoUpLGNkygk sceCommonDialogInitialize
uodLYyUip20 fclose
upoVrzMHFeE scePthreadMutexTrylock
uquVH4-Du78 sceVideoOutClose
uvT2iYBBnkY sceKernelSync
v7S7LhP2OJc wcstombs
vDLMoJLde8I scePadSetTiltCorrectionState
vSMAm3cxYTY sceKernelMprotect
vXZhrtJxkGc sceSysmoduleUnloadModuleInternal
viiwFMaNamA strstr
vz+pg2zdopI sceKernelGetEventUserData
w3BY+tAEiQY sceVideoOutRegisterBuffers
