# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
posix_pthread_kill 0xa0e0
posix_pthread_kill 0xa0e0
pthread_main_np 0xa190
pthread_multi_np 0xa1d0
posix_pthread_mutex_destroy 0x3e2c0
posix_pthread_mutex_destroy 0x3e2c0
pthread_mutex_getprioceiling 0x404b0
pthread_mutex_getprioceiling 0x404b0
posix_pthread_mutex_getspinloops_np 0x405f0
posix_pthread_mutex_getyieldloops_np 0x40710
posix_pthread_mutex_init 0x3d2b0
posix_pthread_mutex_init 0x3d2b0
pthread_mutex_init_for_mono 0x3e0f0
posix_pthread_mutex_isowned_np 0x40830
posix_pthread_mutex_lock 0x3eb10
posix_pthread_mutex_lock 0x3eb10
pthread_mutex_reltimedlock_np 0x3f5d0
pthread_mutex_reltimedlock_np 0x3f5d0
pthread_mutex_setname_np 0x9510
pthread_mutex_setname_np 0x9510
pthread_mutex_setprioceiling 0x404d0
pthread_mutex_setprioceiling 0x404d0
posix_pthread_mutex_setspinloops_np 0x3d9f0
posix_pthread_mutex_setyieldloops_np 0x3db10
posix_pthread_mutex_timedlock 0x3d520
posix_pthread_mutex_timedlock 0x3d520
posix_pthread_mutex_trylock 0x3e5d0
posix_pthread_mutex_trylock 0x3e5d0
posix_pthread_mutex_unlock 0x3fba0
posix_pthread_mutex_unlock 0x3fba0
posix_pthread_mutexattr_destroy 0xa380
posix_pthread_mutexattr_destroy 0xa380
posix_pthread_mutexattr_getkind_np 0xa2b0
pthread_mutexattr_getgen_np 0xa350
pthread_mutexattr_getgen_np 0xa350
posix_pthread_mutexattr_getprioceiling 0xa440
posix_pthread_mutexattr_getprioceiling 0xa440
posix_pthread_mutexattr_getprotocol 0xa3f0
posix_pthread_mutexattr_getprotocol 0xa3f0
posix_pthread_mutexattr_getpshared 0xa3b0
posix_pthread_mutexattr_getpshared 0xa3b0
posix_pthread_mutexattr_gettype 0xa300
posix_pthread_mutexattr_gettype 0xa300
posix_pthread_mutexattr_init 0xa1e0
posix_pthread_mutexattr_init 0xa1e0
pthread_mutexattr_setgen_np 0xa320
pthread_mutexattr_setgen_np 0xa320
posix_pthread_mutexattr_setkind_np 0xa280
posix_pthread_mutexattr_setprioceiling 0xa460
posix_pthread_mutexattr_setprioceiling 0xa460
posix_pthread_mutexattr_setprotocol 0xa410
posix_pthread_mutexattr_setprotocol 0xa410
posix_pthread_mutexattr_setpshared 0xa3d0
posix_pthread_mutexattr_setpshared 0xa3d0
posix_pthread_mutexattr_settype 0xa2d0
posix_pthread_mutexattr_settype 0xa2d0
posix_pthread_once 0xa490
posix_pthread_once 0xa490
posix_pthread_rename_np 0x9290
posix_pthread_rename_np 0x9290
pthread_resume_all_np 0xac10
pthread_resume_np 0xab80
pthread_resume_user_context_np 0xfc10
pthread_resume_user_context_np 0xfc10
posix_pthread_rwlock_destroy 0xb170
posix_pthread_rwlock_destroy 0xb170
posix_pthread_rwlock_init 0xb270
posix_pthread_rwlock_init 0xb270
posix_pthread_rwlock_rdlock 0xb5b0
posix_pthread_rwlock_rdlock 0xb5b0
pthread_rwlock_reltimedrdlock_np 0xb6e0
pthread_rwlock_reltimedwrlock_np 0xbfc0
pthread_rwlock_setname_np 0x9610
posix_pthread_rwlock_timedrdlock 0xb660
posix_pthread_rwlock_timedrdlock 0xb660
posix_pthread_rwlock_timedwrlock 0xbf40
posix_pthread_rwlock_timedwrlock 0xbf40
posix_pthread_rwlock_tryrdlock 0xb8e0
posix_pthread_rwlock_tryrdlock 0xb8e0
posix_pthread_rwlock_trywrlock 0xbb00
posix_pthread_rwlock_trywrlock 0xbb00
posix_pthread_rwlock_unlock 0xc100
posix_pthread_rwlock_unlock 0xc100
posix_pthread_rwlock_wrlock 0xbe90
posix_pthread_rwlock_wrlock 0xbe90
posix_pthread_rwlockattr_destroy 0xc360
posix_pthread_rwlockattr_destroy 0xc360
posix_pthread_rwlockattr_getpshared 0xc380
posix_pthread_rwlockattr_getpshared 0xc380
posix_pthread_rwlockattr_gettype_np 0xc430
posix_pthread_rwlockattr_gettype_np 0xc430
posix_pthread_rwlockattr_init 0xc390
posix_pthread_rwlockattr_init 0xc390
posix_pthread_rwlockattr_setpshared 0xc3e0
posix_pthread_rwlockattr_setpshared 0xc3e0
posix_pthread_rwlockattr_settype_np 0xc400
posix_pthread_rwlockattr_settype_np 0xc400
posix_pthread_self 0xc450
posix_pthread_self 0xc450
pthread_set_defaultstacksize_np 0xe860
posix_pthread_set_name_np 0x9130
pthread_set_user_context_np 0xfd30
posix_pthread_setaffinity_np 0x4700
posix_pthread_setcancelstate 0x5a30
posix_pthread_setcancelstate 0x5a30
posix_pthread_setcanceltype 0x5ab0
posix_pthread_setcanceltype 0x5ab0
pthread_setconcurrency 0x5e70
pthread_setconcurrency 0x5e70
posix_pthread_setprio 0xc470
posix_pthread_setprio 0xc470
ymCrwbFD4fk#I#A 0xc880
posix_pthread_setschedparam 0xc860
posix_pthread_setschedparam 0xc860
posix_pthread_setspecific 0x422e0
posix_pthread_setspecific 0x422e0
posix_pthread_sigmask 0xd430
posix_pthread_sigmask 0xd430
pthread_single_np 0xdaa0
pthread_spin_destroy 0xaa00
pthread_spin_init 0xa9b0
pthread_spin_lock 0xaa80
pthread_spin_trylock 0xaa30
